,tagid,ts,loc,power,lat,long,spp,tagLoc,tagDate,deployLat,deployLon
132,144,7/5/17 13:48,BOAT,91,41.0984183,-71.85066,ROST,ny_ggi,6/19/17,41.202012,-72.119003
93,144,7/5/17 13:48,BOAT,102,41.0985467,-71.8508147,ROST,ny_ggi,6/19/17,41.202012,-72.119003
121,144,7/5/17 13:48,BOAT,94,41.0986083,-71.8508947,ROST,ny_ggi,6/19/17,41.202012,-72.119003
95,144,7/5/17 13:48,BOAT,110,41.0986583,-71.8510114,ROST,ny_ggi,6/19/17,41.202012,-72.119003
136,144,7/5/17 13:48,BOAT,102,41.098725,-71.8511347,ROST,ny_ggi,6/19/17,41.202012,-72.119003
97,144,7/5/17 13:48,BOAT,83,41.0988,-71.8512633,ROST,ny_ggi,6/19/17,41.202012,-72.119003
62,144,7/5/17 13:48,BOAT,106,41.0988417,-71.8513847,ROST,ny_ggi,6/19/17,41.202012,-72.119003
99,144,7/5/17 13:49,BOAT,76,41.0988883,-71.8514817,ROST,ny_ggi,6/19/17,41.202012,-72.119003
64,144,7/5/17 13:49,BOAT,66,41.0989467,-71.851605,ROST,ny_ggi,6/19/17,41.202012,-72.119003
88,144,7/5/17 13:49,BOAT,92,41.0990217,-71.8516814,ROST,ny_ggi,6/19/17,41.202012,-72.119003
52,144,7/5/17 13:49,BOAT,95,41.0991233,-71.8517367,ROST,ny_ggi,6/19/17,41.202012,-72.119003
135,144,7/5/17 13:49,BOAT,83,41.09923,-71.851775,ROST,ny_ggi,6/19/17,41.202012,-72.119003
139,144,7/5/17 13:49,BOAT,114,41.0993467,-71.851815,ROST,ny_ggi,6/19/17,41.202012,-72.119003
105,144,7/5/17 13:49,BOAT,97,41.0994617,-71.8518367,ROST,ny_ggi,6/19/17,41.202012,-72.119003
106,144,7/5/17 13:49,BOAT,113,41.0995617,-71.851815,ROST,ny_ggi,6/19/17,41.202012,-72.119003
67,144,7/5/17 13:49,BOAT,88,41.09978,-71.8516597,ROST,ny_ggi,6/19/17,41.202012,-72.119003
68,144,7/5/17 13:49,BOAT,58,41.0998633,-71.851555,ROST,ny_ggi,6/19/17,41.202012,-72.119003
133,144,7/5/17 13:50,BOAT,83,41.09997,-71.8513947,ROST,ny_ggi,6/19/17,41.202012,-72.119003
124,144,7/5/17 13:50,BOAT,95,41.1000717,-71.8512617,ROST,ny_ggi,6/19/17,41.202012,-72.119003
125,144,7/5/17 13:50,BOAT,65,41.100145,-71.85115,ROST,ny_ggi,6/19/17,41.202012,-72.119003
72,144,7/5/17 13:50,BOAT,78,41.1002083,-71.8510614,ROST,ny_ggi,6/19/17,41.202012,-72.119003
127,144,7/5/17 13:50,BOAT,56,41.1002683,-71.85097,ROST,ny_ggi,6/19/17,41.202012,-72.119003
101,144,7/5/17 13:50,BOAT,54,41.1003167,-71.8508831,ROST,ny_ggi,6/19/17,41.202012,-72.119003
134,144,7/5/17 13:50,BOAT,81,41.1003817,-71.8507697,ROST,ny_ggi,6/19/17,41.202012,-72.119003
116,144,7/5/17 13:50,BOAT,99,41.1004833,-71.850615,ROST,ny_ggi,6/19/17,41.202012,-72.119003
117,144,7/5/17 13:50,BOAT,93,41.10065,-71.85035,ROST,ny_ggi,6/19/17,41.202012,-72.119003
118,144,7/5/17 13:50,BOAT,101,41.1007617,-71.8501947,ROST,ny_ggi,6/19/17,41.202012,-72.119003
107,144,7/5/17 13:51,BOAT,94,41.1008667,-71.8500731,ROST,ny_ggi,6/19/17,41.202012,-72.119003
80,144,7/5/17 13:51,BOAT,88,41.1009667,-71.8499583,ROST,ny_ggi,6/19/17,41.202012,-72.119003
108,144,7/5/17 13:51,BOAT,97,41.1012933,-71.8495764,ROST,ny_ggi,6/19/17,41.202012,-72.119003
122,144,7/5/17 13:51,BOAT,79,41.1013883,-71.8494683,ROST,ny_ggi,6/19/17,41.202012,-72.119003
123,144,7/5/17 13:51,BOAT,105,41.1015,-71.8493897,ROST,ny_ggi,6/19/17,41.202012,-72.119003
130,144,7/5/17 13:51,BOAT,83,41.1015867,-71.8493383,ROST,ny_ggi,6/19/17,41.202012,-72.119003
113,144,7/5/17 13:51,BOAT,106,41.1016783,-71.8492883,ROST,ny_ggi,6/19/17,41.202012,-72.119003
86,144,7/5/17 13:51,BOAT,98,41.101785,-71.8492417,ROST,ny_ggi,6/19/17,41.202012,-72.119003
128,144,7/5/17 13:51,BOAT,72,41.101875,-71.8491947,ROST,ny_ggi,6/19/17,41.202012,-72.119003
138,144,7/5/17 13:51,BOAT,49,41.10197,-71.849145,ROST,ny_ggi,6/19/17,41.202012,-72.119003
140,144,7/5/17 13:52,BOAT,48,41.1028933,-71.8481283,ROST,ny_ggi,6/19/17,41.202012,-72.119003
137,144,7/5/17 13:53,BOAT,42,41.1028633,-71.8477764,ROST,ny_ggi,6/19/17,41.202012,-72.119003
131,144,7/5/17 13:53,BOAT,52,41.102775,-71.8474481,ROST,ny_ggi,6/19/17,41.202012,-72.119003
120,144,7/5/17 13:53,BOAT,41,41.1026933,-71.8463533,ROST,ny_ggi,6/19/17,41.202012,-72.119003
