type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,desc,link
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.1303856,-71.51312641,41.1303856,-71.51312641,,FALSE,FALSE,,,4.46,,,2017/07/05 15:05:40+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:05,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.13020011,-71.51303714,41.13020011,-71.51303714,,FALSE,FALSE,,,6.39,,,2017/07/05 15:05:47+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:05,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12994463,-71.51282424,41.12994463,-71.51282424,,FALSE,FALSE,,,5.91,,,2017/07/05 15:05:58+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:05,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12972628,-71.51255418,41.12972628,-71.51255418,,FALSE,FALSE,,,5.42,,,2017/07/05 15:06:09+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:06,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12947986,-71.51226332,41.12947986,-71.51226332,,FALSE,FALSE,,,4.46,,,2017/07/05 15:06:21+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:06,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.1291792,-71.51193467,41.1291792,-71.51193467,,FALSE,FALSE,,,4.46,,,2017/07/05 15:06:35+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:06,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12886521,-71.51159772,41.12886521,-71.51159772,,FALSE,FALSE,,,4.46,,,2017/07/05 15:06:49+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:06,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12858375,-71.51125465,41.12858375,-71.51125465,,FALSE,FALSE,,,4.94,,,2017/07/05 15:07:03+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:07,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12828141,-71.51089297,41.12828141,-71.51089297,,FALSE,FALSE,,,4.46,,,2017/07/05 15:07:18+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:07,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12802308,-71.51060211,41.12802308,-71.51060211,,FALSE,FALSE,,,4.46,,,2017/07/05 15:07:30+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:07,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12774723,-71.51029089,41.12774723,-71.51029089,,FALSE,FALSE,,,3.98,,,2017/07/05 15:07:43+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:07,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12747272,-71.50996685,41.12747272,-71.50996685,,FALSE,FALSE,,,3.98,,,2017/07/05 15:07:56+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:07,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12715941,-71.50966141,41.12715941,-71.50966141,,FALSE,FALSE,,,3.98,,,2017/07/05 15:08:10+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:08,,
