,tsDate,spp,sex,X,tsHr,HrTimeHr,HrTempF,HrDewPtF,HrHumid,HrSeaLvlPrs,HrVisMPH,HrWindSpd,HrGustSpd,HrPrecip,HrWindDirCirc,HrWeek,HrBirds,HrDets,HrChkAgeMean,HrSigMean,DailyDate,TempF,DewPtF,Humid,SeaLvlPrs,VisM,WindSpd,GustSpd,Precip,WindDirCirc,Birds,Dets,ChkAgeMean,SigMean,Dawn,Dusk,Sunrise,Sunset
4,6/20/16,ROST,F,4,6/20/16 1:00,6/20/16 1:00,61,57.9,90,30.29,10,6.9,,0,200,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
5,6/20/16,ROST,M,5,6/20/16 1:00,6/20/16 1:00,61,57.9,90,30.29,10,6.9,,0,200,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
9,6/20/16,ROST,F,9,6/20/16 2:00,6/20/16 2:00,61,57.9,90,30.28,10,6.9,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
10,6/20/16,ROST,M,10,6/20/16 2:00,6/20/16 2:00,61,57.9,90,30.28,10,6.9,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
14,6/20/16,ROST,F,14,6/20/16 4:00,6/20/16 4:00,61,59,93,30.25,10,8.1,,0,180,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
15,6/20/16,ROST,M,15,6/20/16 4:00,6/20/16 4:00,61,59,93,30.25,10,8.1,,0,180,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
19,6/20/16,ROST,F,19,6/20/16 5:00,6/20/16 5:00,61,59,93,30.26,10,8.1,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
20,6/20/16,ROST,M,20,6/20/16 5:00,6/20/16 5:00,61,59,93,30.26,10,8.1,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
24,6/20/16,ROST,F,24,6/20/16 6:00,6/20/16 6:00,62.1,59,90,30.26,10,9.2,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
25,6/20/16,ROST,M,25,6/20/16 6:00,6/20/16 6:00,62.1,59,90,30.26,10,9.2,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
